measure,chung_lu,Budapest
nodes,1015.0,1015.0
edges,70636.0,70654.0
density,0.13726256060473568,0.13729753888905083
mean degree,139.18423645320198,139.21970443349753
degree sd,72.28712963672373,71.54821314228278
min degree,6.0,7.0
max degree,479.0,466.0
clustering,0.219632170875877,0.6696113499613852
transitivity,0.21891078055863328,0.5578189839289756
modularity,0.06318182660469061,0.5574332531069874
n communities,8.0,4.0
avg path length,1.8678986795697672,2.2189796057170064
diameter,3.0,5.0
effective diameter,1.8894106903716863,2.730848296573624
g(2)/total pairs,0.9948387598254972,0.6526714664645699
lambda_1,176.62427831274294,178.94886202831643
lambda_2,23.03330187585551,171.43822560534082
lambda_1/<d>,1.2689962801364325,1.285370219370037
spectral gap,153.59097643688744,7.510636422975608
mean triangles,2677.114285714286,6794.8078817733995
min triangles,2.0,18.0
T1 degree,0.0187192118226601,0.0
T2 eff. diameter,0.3081231598465881,0.0
T3 hop plot,0.5242565531696977,0.0
T4 scree,1.0063693475182696,0.0
T5 network value,0.10935960591133005,0.0
T6 triangles,0.40788177339901477,0.0
SCORE (mean),0.39578494194459335,0.0
