measure,cnew_coarse,Budapest
nodes,1015.0,1015.0
edges,64760.0,70654.0
density,0.1258440940138553,0.13729753888905083
mean degree,127.60591133004927,139.21970443349753
degree sd,61.34879979259691,71.54821314228278
min degree,33.0,7.0
max degree,383.0,466.0
clustering,0.6118921120545754,0.6696113499613852
transitivity,0.5108383921597489,0.5578189839289756
modularity,0.5554014658246861,0.5574332531069874
n communities,4.0,4.0
avg path length,2.1872057208927234,2.2189796057170064
diameter,5.0,5.0
effective diameter,2.697585988949375,2.730848296573624
g(2)/total pairs,0.7005392485498586,0.6526714664645699
lambda_1,162.88742309754002,178.94886202831643
lambda_2,142.9553091389179,171.43822560534082
lambda_1/<d>,1.2764880670475842,1.285370219370037
spectral gap,19.932113958622125,7.510636422975608
mean triangles,5087.781280788177,6794.8078817733995
min triangles,460.0,18.0
T1 degree,0.09852216748768473,0.0
T2 eff. diameter,0.012180210693498738,0.0
T3 hop plot,0.07334131265854447,0.0
T4 scree,0.8303808597050851,0.0
T5 network value,0.03940886699507389,0.0
T6 triangles,0.15172413793103448,0.0
SCORE (mean),0.2009262592451536,0.0
