measure,configuration,Budapest
nodes,1015.0,1015.0
edges,63680.0,70654.0
density,0.12374539695494603,0.13729753888905083
mean degree,125.47783251231527,139.21970443349753
degree sd,58.615918173157475,71.54821314228278
min degree,7.0,7.0
max degree,366.0,466.0
clustering,0.18258856484148128,0.6696113499613852
transitivity,0.18038505009601435,0.5578189839289756
modularity,0.06715960110303404,0.5574332531069874
n communities,8.0,4.0
avg path length,1.881718988350288,2.2189796057170064
diameter,3.0,5.0
effective diameter,1.8914369812971281,2.730848296573624
g(2)/total pairs,0.9945356146947659,0.6526714664645699
lambda_1,152.51113994202169,178.94886202831643
lambda_2,22.278020692561874,171.43822560534082
lambda_1/<d>,1.215442894481407,1.285370219370037
spectral gap,130.2331192494598,7.510636422975608
mean triangles,1718.6216748768472,6794.8078817733995
min triangles,2.0,18.0
T1 degree,0.10640394088669951,0.0
T2 eff. diameter,0.3073811593011956,0.0
T3 hop plot,0.5237920849857683,0.0
T4 scree,1.0272012389251173,0.0
T5 network value,0.1458128078817734,0.0
T6 triangles,0.5596059113300492,0.0
SCORE (mean),0.4450328572184339,0.0
