measure,dcsbm_budapest,Budapest
nodes,1015.0,1015.0
edges,67769.0,70654.0
density,0.1316912972085386,0.13729753888905083
mean degree,133.53497536945812,139.21970443349753
degree sd,60.25324640906833,71.54821314228278
min degree,9.0,7.0
max degree,334.0,466.0
clustering,0.45107251353487604,0.6696113499613852
transitivity,0.43852027000934385,0.5578189839289756
modularity,0.5501361474684046,0.5574332531069874
n communities,4.0,4.0
avg path length,2.105667453678064,2.2189796057170064
diameter,4.0,5.0
effective diameter,2.578819410279117,2.730848296573624
g(2)/total pairs,0.762825856725061,0.6526714664645699
lambda_1,162.65801935460757,178.94886202831643
lambda_2,156.47473601476057,171.43822560534082
lambda_1/<d>,1.21809300450742,1.285370219370037
spectral gap,6.183283339847009,7.510636422975608
mean triangles,4676.491625615764,6794.8078817733995
min triangles,18.0,18.0
T1 degree,0.059113300492610835,0.0
T2 eff. diameter,0.055670938032426155,0.0
T3 hop plot,0.16877463765526945,0.0
T4 scree,0.11453525207849516,0.0
T5 network value,0.05812807881773399,0.0
T6 triangles,0.1724137931034483,0.0
SCORE (mean),0.10477266669666398,0.0
