measure,dcsbm_construction,Budapest
nodes,1015.0,1015.0
edges,68244.0,70654.0
density,0.13261433526685515,0.13729753888905083
mean degree,134.47093596059113,139.21970443349753
degree sd,60.16562438180175,71.54821314228278
min degree,9.0,7.0
max degree,329.0,466.0
clustering,0.4522068436686327,0.6696113499613852
transitivity,0.44278328339435125,0.5578189839289756
modularity,0.551631705136581,0.5574332531069874
n communities,4.0,4.0
avg path length,2.115243730628346,2.2189796057170064
diameter,4.0,5.0
effective diameter,2.596821116029658,2.730848296573624
g(2)/total pairs,0.7524975466620029,0.6526714664645699
lambda_1,164.4106934829032,178.94886202831643
lambda_2,156.9705517169991,171.43822560534082
lambda_1/<d>,1.2226485396895461,1.285370219370037
spectral gap,7.440141765904116,7.510636422975608
mean triangles,4774.944827586207,6794.8078817733995
min triangles,9.0,18.0
T1 degree,0.0561576354679803,0.0
T2 eff. diameter,0.04907895495774285,0.0
T3 hop plot,0.1529499684399824,0.0
T4 scree,0.029091281735152037,0.0
T5 network value,0.09655172413793103,0.0
T6 triangles,0.15467980295566502,0.0
SCORE (mean),0.08975156128240895,0.0
