measure,er,Budapest
nodes,1015.0,1015.0
edges,70654.0,70654.0
density,0.13729753888905083,0.13729753888905083
mean degree,139.21970443349753,139.21970443349753
degree sd,10.563810604792252,71.54821314228278
min degree,105.0,7.0
max degree,178.0,466.0
clustering,0.13691860180707244,0.6696113499613852
transitivity,0.1369292400672788,0.5578189839289756
modularity,0.06726164558134103,0.5574332531069874
n communities,8.0,4.0
avg path length,1.8627024611109493,2.2189796057170064
diameter,2.0,5.0
effective diameter,1.8840851805717298,2.730848296573624
g(2)/total pairs,1.0,0.6526714664645699
lambda_1,140.02776358147187,178.94886202831643
lambda_2,21.94914472085608,171.43822560534082
lambda_1/<d>,1.0058042010020236,1.285370219370037
spectral gap,118.07861886061579,7.510636422975608
mean triangles,1325.0985221674878,6794.8078817733995
min triangles,743.0,18.0
T1 degree,0.4433497536945813,0.0
T2 eff. diameter,0.3100732900704597,0.0
T3 hop plot,0.5321644217371111,0.0
T4 scree,1.108749220323865,0.0
T5 network value,0.5389162561576355,0.0
T6 triangles,0.8364532019704434,0.0
SCORE (mean),0.6282843573256827,0.0
