measure,modular_random,Budapest
nodes,1015.0,1015.0
edges,71099.0,70654.0
density,0.13816227980684215,0.13729753888905083
mean degree,140.09655172413792,139.21970443349753
degree sd,23.11736041682556,71.54821314228278
min degree,91.0,7.0
max degree,188.0,466.0
clustering,0.31864388746863986,0.6696113499613852
transitivity,0.3260225532534712,0.5578189839289756
modularity,0.5529782180066944,0.5574332531069874
n communities,4.0,4.0
avg path length,1.862247743414852,2.2189796057170064
diameter,3.0,5.0
effective diameter,1.8843896276745733,2.730848296573624
g(2)/total pairs,0.9995899767783057,0.6526714664645699
lambda_1,149.83135511971983,178.94886202831643
lambda_2,127.22112396743329,171.43822560534082
lambda_1/<d>,1.0694863883213241,1.285370219370037
spectral gap,22.610231152286545,7.510636422975608
mean triangles,3263.7073891625614,6794.8078817733995
min triangles,1136.0,18.0
T1 degree,0.33004926108374383,0.0
T2 eff. diameter,0.3099618056268802,0.0
T3 hop plot,0.5315361987447451,0.0
T4 scree,1.083977296111045,0.0
T5 network value,0.28866995073891627,0.0
T6 triangles,0.49261083743842365,0.0
SCORE (mean),0.5061342249572923,0.0
