measure,random_geometric,Budapest
nodes,1015.0,1015.0
edges,70699.0,70654.0
density,0.13738498459983872,0.13729753888905083
mean degree,139.30837438423646,139.21970443349753
degree sd,35.209583318407724,71.54821314228278
min degree,46.0,7.0
max degree,196.0,466.0
clustering,0.6620038994389559,0.6696113499613852
transitivity,0.6261327616385964,0.5578189839289756
modularity,0.530962964141604,0.5574332531069874
n communities,4.0,4.0
avg path length,2.7979051894171256,2.2189796057170064
diameter,7.0,5.0
effective diameter,3.859077073946952,2.730848296573624
g(2)/total pairs,0.42085677364191953,0.6526714664645699
lambda_1,157.279169471864,178.94886202831643
lambda_2,132.30359913093315,171.43822560534082
lambda_1/<d>,1.1290001061821382,1.285370219370037
spectral gap,24.975570340930858,7.510636422975608
mean triangles,6420.124137931034,6794.8078817733995
min triangles,1035.0,18.0
T1 degree,0.2334975369458128,0.0
T2 eff. diameter,0.41314223817885054,0.0
T3 hop plot,0.3551782247787821,0.0
T4 scree,1.060826877280748,0.0
T5 network value,0.06206896551724138,0.0
T6 triangles,0.22857142857142856,0.0
SCORE (mean),0.39221421187881056,0.0
