measure,rewired_budapest,Budapest
nodes,1015.0,1015.0
edges,70654.0,70654.0
density,0.13729753888905083,0.13729753888905083
mean degree,139.21970443349753,139.21970443349753
degree sd,71.54821314228278,71.54821314228278
min degree,7.0,7.0
max degree,466.0,466.0
clustering,0.2204107107405816,0.6696113499613852
transitivity,0.21132097386050275,0.5578189839289756
modularity,0.060528467955068194,0.5574332531069874
n communities,9.0,4.0
avg path length,1.86626635963506,2.2189796057170064
diameter,3.0,5.0
effective diameter,1.8877525632355237,2.730848296573624
g(2)/total pairs,0.9964361014758892,0.6526714664645699
lambda_1,174.41800609165477,178.94886202831643
lambda_2,23.849361064842373,171.43822560534082
lambda_1/<d>,1.2528255738035328,1.285370219370037
spectral gap,150.5686450268124,7.510636422975608
mean triangles,2574.1064039408866,6794.8078817733995
min triangles,6.0,18.0
T1 degree,0.0,0.0
T2 eff. diameter,0.3087303437528648,0.0
T3 hop plot,0.5267039432157872,0.0
T4 scree,1.0126596388636009,0.0
T5 network value,0.12315270935960591,0.0
T6 triangles,0.4098522167487685,0.0
SCORE (mean),0.39684980865677116,0.0
