measure,watts_strogatz,Budapest
nodes,1015.0,1015.0
edges,70035.0,70654.0
density,0.13609467455621302,0.13729753888905083
mean degree,138.0,139.21970443349753
degree sd,3.6136031988609005,71.54821314228278
min degree,126.0,7.0
max degree,153.0,466.0
clustering,0.5558058577905416,0.6696113499613852
transitivity,0.5551099618369029,0.5578189839289756
modularity,0.545862490941395,0.5574332531069874
n communities,6.0,4.0
avg path length,1.8736545505776274,2.2189796057170064
diameter,3.0,5.0
effective diameter,1.8943392491917925,2.730848296573624
g(2)/total pairs,0.9902507748661595,0.6526714664645699
lambda_1,138.0965767658207,178.94886202831643
lambda_2,118.54070600722659,171.43822560534082
lambda_1/<d>,1.000699831636382,1.285370219370037
spectral gap,19.555870758594125,7.510636422975608
mean triangles,5251.07881773399,6794.8078817733995
min triangles,4344.0,18.0
T1 degree,0.5024630541871922,0.0
T2 eff. diameter,0.3063183877447141,0.0
T3 hop plot,0.5172270058475356,0.0
T4 scree,0.9126131908595305,0.0
T5 network value,0.6157635467980296,0.0
T6 triangles,0.46108374384236456,0.0
SCORE (mean),0.5525781548798944,0.0
